date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,pair_kpa,prcp_mm,etr_mm,eto_mm
2013-04-16,2013,4,16,46.1500000000,-105.8083333000,776.2399902344,1.9446728230,-6.1499938965,4.0500183105,155.6000061035,0.3814115291,92.4546677394,0.4000000060,2.0000000000,1.5000000000
2013-04-17,2013,4,17,46.1500000000,-105.8083333000,776.2399902344,2.6178286076,-6.6499938965,3.1499938965,149.6999969482,0.4347438528,92.4546677394,0.0000000000,1.6000000238,1.3000000715
2013-04-18,2013,4,18,46.1500000000,-105.8083333000,776.2399902344,2.9918041229,-8.5499877930,9.5500183105,244.6999969482,0.3754842656,92.4546677394,0.0000000000,3.5000000000,2.6000001431
2013-04-19,2013,4,19,46.1500000000,-105.8083333000,776.2399902344,2.0194678307,-1.8500061035,12.4500122070,162.6999969482,0.5087778806,92.4546677394,0.0000000000,3.2000000477,2.4000000954
2013-04-20,2013,4,20,46.1500000000,-105.8083333000,776.2399902344,2.4682383537,0.2500000000,17.0500183105,205.4000091553,0.6360115146,92.4546677394,5.7000002861,4.4000000954,3.2000000477
2013-04-21,2013,4,21,46.1500000000,-105.8083333000,776.2399902344,3.4405746460,-1.9499816895,11.0500183105,145.6999969482,0.6049550584,92.4546677394,2.9000000954,2.7999999523,2.1000001431
2013-04-22,2013,4,22,46.1500000000,-105.8083333000,776.2399902344,3.5901648998,-5.8500061035,3.0500183105,173.0000000000,0.3754842656,92.4546677394,0.3000000119,2.2000000477,1.6000000238
2013-04-23,2013,4,23,46.1500000000,-105.8083333000,776.2399902344,2.6178286076,-6.7500000000,10.7500000000,273.3999938965,0.2939553519,92.4546677394,0.0000000000,4.3000001907,3.1000001431
2013-04-24,2013,4,24,46.1500000000,-105.8083333000,776.2399902344,3.8893456459,-1.0499877930,11.4500122070,195.3000030518,0.3977099772,92.4546677394,0.0000000000,4.7000002861,3.2999999523
2013-04-25,2013,4,25,46.1500000000,-105.8083333000,776.2399902344,3.6649599075,-0.4499816895,17.8500061035,216.0000000000,0.4421492662,92.4546677394,0.0000000000,6.4000000954,4.4000000954
2013-04-26,2013,4,26,46.1500000000,-105.8083333000,776.2399902344,3.1413943768,3.1499938965,23.3500061035,277.5000000000,0.5087778806,92.4546677394,0.0000000000,8.1000003815,5.5999999046
2013-04-27,2013,4,27,46.1500000000,-105.8083333000,776.2399902344,4.4129109383,6.7500000000,25.9500122070,277.1000061035,0.5605750224,92.4546677394,0.0000000000,10.5000000000,7.0999999046
2013-04-28,2013,4,28,46.1500000000,-105.8083333000,776.2399902344,3.3657796383,7.9500122070,20.8500061035,187.6000061035,0.6197447938,92.4546677394,0.0000000000,6.9000000954,4.8000001907
2013-04-29,2013,4,29,46.1500000000,-105.8083333000,776.2399902344,2.9170091152,5.5500183105,22.0500183105,204.1999969482,0.5886842644,92.4546677394,1.8999999762,6.8000001907,4.7000002861
2013-04-30,2013,4,30,46.1500000000,-105.8083333000,776.2399902344,6.0584039688,-0.3500061035,10.7500000000,215.9000091553,0.4184503136,92.4546677394,0.5000000000,5.2000002861,3.6000001431
2013-05-01,2013,5,1,46.1500000000,-105.8083333000,776.2399902344,2.8422138691,-2.4499816895,10.0500183105,290.3000183105,0.3310207025,92.4546677394,0.0000000000,4.5999999046,3.4000000954
2013-05-02,2013,5,2,46.1500000000,-105.8083333000,776.2399902344,2.0194678307,-1.3500061035,15.8500061035,295.8999938965,0.3161959051,92.4546677394,0.0000000000,5.5000000000,4.0999999046
