ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
490	490	150119	  44.9000	-106.8500	3671.13	-999	1.9200	60	B	2	50	
491	491	150110	  44.9000	-107.2250	3978.87	-999	1.9200	60	B	2	50	
492	492	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
493	493	150109	  44.9000	-107.2670	4124.41	-999	2.1600	60	B	2	50	
494	494	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
495	495	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
496	496	150119	  44.9000	-106.8500	3671.13	-999	1.9200	60	B	2	50	
497	497	150109	  44.9000	-107.2670	4124.41	-999	2.1600	60	B	2	50	
498	498	150110	  44.9000	-107.2250	3978.87	-999	1.9200	60	B	2	50	
499	499	150110	  44.9000	-107.2250	3978.87	-999	1.9200	60	B	2	50	
5	5	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
50	50	157046	  44.6920	-106.9750	4075.59	-999	1.9200	60	B	2	50	
500	500	150109	  44.9000	-107.2670	4124.41	-999	1.9200	60	B	2	50	
501	501	150109	  44.9000	-107.2670	4124.41	-999	1.9200	60	B	2	50	
502	502	151493	  44.8580	-107.3500	5535.30	-999	1.4475	60	B	2	50	
503	503	150109	  44.9000	-107.2670	4124.41	-999	2.1600	60	B	2	50	
504	504	151496	  44.8580	-107.2250	4183.46	-999	1.9200	60	B	2	50	
505	505	150110	  44.9000	-107.2250	3978.87	-999	1.9200	60	B	2	50	
506	506	150109	  44.9000	-107.2670	4124.41	-999	1.9200	60	B	2	50	
507	507	151493	  44.8580	-107.3500	5535.30	-999	1.4400	60	B	2	50	
508	508	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
509	509	151495	  44.8580	-107.2670	4108.40	-999	2.0146	60	B	2	50	
51	51	157046	  44.6920	-106.9750	4075.59	-999	1.9200	60	B	2	50	
510	510	150109	  44.9000	-107.2670	4124.41	-999	1.9200	60	B	2	50	
511	511	151493	  44.8580	-107.3500	5535.30	-999	1.4400	60	B	2	50	
512	512	151493	  44.8580	-107.3500	5535.30	-999	1.4400	60	B	2	50	
513	513	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
514	514	151494	  44.8580	-107.3080	4528.48	-999	1.4400	60	B	2	50	
515	515	151495	  44.8580	-107.2670	4108.40	-999	2.0909	60	B	2	50	
516	516	151495	  44.8580	-107.2670	4108.40	-999	2.0693	60	B	2	50	
517	517	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
518	518	150119	  44.9000	-106.8500	3671.13	-999	1.9200	60	B	2	50	
519	519	150119	  44.9000	-106.8500	3671.13	-999	1.9200	60	B	2	50	
